2026-05-29 09:13:27,438 | WARNING | enroll | Encoding failed for image #24
2026-05-29 09:13:27,839 | WARNING | enroll | Encoding failed for image #26
2026-05-29 09:13:28,620 | WARNING | enroll | Encoding failed for image #29
2026-05-29 09:13:28,654 | WARNING | enroll | Encoding failed for image #30
2026-05-29 09:13:28,688 | WARNING | enroll | Encoding failed for image #31
2026-05-29 09:13:29,099 | WARNING | enroll | Encoding failed for image #33
2026-05-29 09:13:30,638 | WARNING | enroll | Encoding failed for image #38
2026-05-29 09:13:31,045 | WARNING | enroll | Encoding failed for image #40
2026-05-29 09:13:32,587 | WARNING | enroll | Encoding failed for image #45
2026-05-29 09:13:32,979 | WARNING | enroll | Encoding failed for image #47
2026-05-29 09:13:34,147 | WARNING | enroll | Encoding failed for image #51
2026-05-29 09:13:34,181 | WARNING | enroll | Encoding failed for image #52
2026-05-29 09:13:34,586 | WARNING | enroll | Encoding failed for image #54
2026-05-29 09:13:35,723 | WARNING | enroll | Encoding failed for image #58
2026-05-29 09:13:36,492 | WARNING | enroll | Encoding failed for image #61
2026-05-29 09:13:40,521 | WARNING | enroll | Encoding failed for image #73
2026-05-29 09:13:41,002 | WARNING | enroll | Encoding failed for image #75
2026-05-29 09:13:53,476 | WARNING | enroll | Encoding failed for image #110
2026-05-29 09:14:04,081 | INFO | enroll | Saved encodings to C:\Projects\VisionGate\data\encodings\encodings.pkl (total=106, students=1)
2026-05-29 09:14:04,630 | INFO | enroll | Trained new LBPH model with 140 samples
2026-05-29 09:14:05,041 | INFO | enroll | Saved LBPH model to C:\Projects\VisionGate\data\encodings\lbph_model.yml
2026-05-29 09:14:05,061 | INFO | database | Registered student EG_2021_4385 (Pavith Adeesha)
2026-05-29 09:14:29,720 | INFO | main | Menu selection: 3 — Open Dashboard
2026-05-29 09:14:29,721 | INFO | main | Launching dashboard: C:\Python314\python.exe -m streamlit run C:\Projects\VisionGate\dashboard.py --server.port 8501
2026-05-29 09:17:39,655 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-6\test_init_db_creates_tables0\attendance.db
2026-05-29 09:17:39,674 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-6\test_register_student_inserts_0\attendance.db
2026-05-29 09:17:39,682 | INFO | database | Registered student EG2020001 (Alice)
2026-05-29 09:17:39,703 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-6\test_duplicate_student_id_is_h0\attendance.db
2026-05-29 09:17:39,711 | INFO | database | Registered student EG2020002 (Bob)
2026-05-29 09:17:39,712 | WARNING | database | Student EG2020002 already registered
2026-05-29 09:17:39,731 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-6\test_mark_attendance_inserts_r0\attendance.db
2026-05-29 09:17:39,738 | INFO | database | Registered student EG2020003 (Carol)
2026-05-29 09:17:39,746 | INFO | database | Marked attendance for EG2020003 (Carol) session=session_A
2026-05-29 09:17:39,771 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-6\test_duplicate_attendance_with0\attendance.db
2026-05-29 09:17:39,780 | INFO | database | Registered student EG2020004 (Dave)
2026-05-29 09:17:39,786 | INFO | database | Marked attendance for EG2020004 (Dave) session=default
2026-05-29 09:17:39,801 | WARNING | database | Duplicate attendance for EG2020004 within 300s window (elapsed=1s)
2026-05-29 09:17:39,819 | INFO | database | Database initialised at C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-6\test_export_to_csv_creates_fil0\attendance.db
2026-05-29 09:17:39,828 | INFO | database | Registered student EG2020005 (Eve)
